RESPOSTAS CORRETAS,RESPOSTAS ERRADAS
Durante a fotossíntese ocorre a produção de carboidratos como a glicose,O processo de respiração nas plantas ocorre apenas durante a noite quando a fotossíntese cessa
A fotossíntese é a síntese de carboidrato a partir de água e dióxido de carbono (CO),Na fotossíntese a quebra das moléculas de CO2 permite a liberação de átomos de oxigênio que por meio de ligações covalentes formam O2
A reação química que ocorre na fotossíntese pode ser esquematizada da seguinte forma: gás carbônico + água + luz => glicose + oxigênio,Fotossíntese é o processo pelo qual as plantas durante o dia convertem CO2 em O2
Para que haja fotossíntese é necessário que a planta seja exposta à luz. Vale destacar no entanto que algumas etapas podem ocorrer na ausência de luminosidade acontecendo inclusive durante a noite como é o caso de algumas plantas suculentas. Essas plantas abrem os seus estômatos e fixam CO2 à noite produzindo glicose (fase química). Já o O2 é produzido na na fase fotoquímica pelo processo de fotólise ou seja quebra da água com o auxílio da luz,fasd sdf asd gfd gsdf gsdhfgjkdsh gsdf
Em resumo algumas plantas conseguem fazer a fase fotoquímica e química durante o dia. Mas outras dividiram essas fases entre dia e noite para evitar a perda de água com a abertura dos estômatos. Então nessas plantas a produção de O2 e conversão de CO2 ocorrem em momentos diferentes,a fotossintese é algo que as plantas faz la quando tem sol e apenas isso
A fotossíntese é responsável pela transformação da energia eletromagnética (luminosa) em energia química,ela é quando a planta absorve o escuro para conseguir sobreviver
O O2 produzido na fotossíntese ocorre na fase fotoquímica pelo processo de fotólise ou seja quebra da água com o auxílio da luz. O CO2 entra no Ciclo de Kalvin na fase química para produção de glicose por exemplo,
A energia luminosa é necessária para que ocorra a fotossíntese; contudo o ciclo fotossintético pode se completar com reações que podem ocorrer na ausência da luz,
O cloroplasto organela responsável pela fotossíntese possui DNA e RNA próprios que atuam na síntese de algumas proteínas estruturais e enzimáticas,
Cloroplastos assim como as mitocôndrias possuem uma dupla membrana e seu interior é preenchido por um material fluido denominado estroma. No interior do estroma existem estruturas membranosas denominadas lamelas e estruturas discoidais chamadas de tilacoides. Os tilacoides encontram-se empilhados e cada pilha recebe o nome de granum. Os cloroplastos possuem enzimas ribossomos e DNA próprios que atuam na síntese de algumas proteínas estruturais e enzimáticas.É nestas organelas que ocorre o processo de fotossíntese,
Assim como as mitocôndrias o cloroplasto evoluiu a partir de uma bactéria engolfada e possui seu próprio genona e sistema genético. O estroma portanto como a matriz mitocondrial também contém um conjunto especial de ribossomos RNA e DNA,
Os cloroplastos assim como as mitocôndrias apresentam DNA próprio RNA e ribossomos que sintetizam uma parte de suas proteínas. A outra parte é sintetizada pelo DNA celular,
Nas células vegetais a oxidação de carboidratos para a liberação de energia ocorre nas mitocôndrias,

